---------	------	--------------	-----------------	----------	--------	--------------	-------
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum
---------	------	--------------	-----------------	----------	--------	--------------	-------
FCFS     	     1	          0.06	            0.065	     1.004	   0.061	         0.065	      0
FCFS     	     2	          0.06	            0.069	     1.989	   0.121	          0.14	      0
FCFS     	     3	          0.06	            0.073	     2.997	   0.182	         0.212	      0
FCFS     	     4	          0.06	            0.082	     3.993	   0.247	         0.334	      0
FCFS     	     5	          0.06	            0.085	     4.929	   0.295	         0.428	      0
FCFS     	     6	          0.06	            0.094	     6.028	   0.356	         0.573	      0
FCFS     	     7	          0.06	            0.103	     7.077	   0.423	         0.722	      0
FCFS     	     8	          0.06	            0.117	     7.892	   0.471	         0.924	      0
FCFS     	     9	          0.06	            0.127	     8.974	   0.534	         1.146	      0
FCFS     	    10	          0.06	            0.147	    10.202	   0.608	         1.483	      0
FCFS     	    11	          0.06	            0.174	    10.979	   0.649	         1.966	      0
FCFS     	    12	          0.06	            0.198	    11.954	    0.71	         2.349	      0
FCFS     	    13	          0.06	            0.247	    12.785	   0.765	         3.124	      0
FCFS     	    14	          0.06	            0.366	    14.094	   0.837	         5.186	      0
FCFS     	    15	          0.06	            0.451	    15.241	   0.904	          6.72	      0
FCFS     	    16	          0.06	            1.112	    16.038	   0.953	        17.808	      0
FCFS     	    17	          0.06	            4.715	    16.563	   0.995	        78.304	      0
FCFS     	    18	          0.06	           27.898	    16.451	   0.999	       498.878	      0
FCFS     	    19	          0.06	           28.591	    16.809	     1.0	       528.588	      0
FCFS     	    20	          0.06	            51.54	    16.484	   0.999	      1032.755	      0
FCFS     	    21	          0.06	           60.493	    16.589	   0.999	      1258.857	      0
FCFS     	    22	          0.06	            74.88	    16.687	     1.0	      1676.747	      0
FCFS     	    23	          0.06	           87.481	    16.634	     1.0	      2039.754	      0
FCFS     	    24	          0.06	           90.246	    16.692	     1.0	      2166.659	      0
FCFS     	    25	          0.06	           97.875	    16.659	     1.0	       2446.97	      0
FCFS     	    26	          0.06	          106.079	    16.672	     1.0	      2771.453	      0
FCFS     	    27	          0.06	          107.131	     17.02	     1.0	      2873.024	      0
FCFS     	    28	          0.06	          120.588	    16.838	     1.0	      3400.714	      0
FCFS     	    29	          0.06	          124.742	    16.844	     1.0	      3597.098	      0
FCFS     	    30	          0.06	          137.333	    16.444	     1.0	      4124.865	      0
---------	------	--------------	-----------------	----------	--------	--------------	-------
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum
---------	------	--------------	-----------------	----------	--------	--------------	-------
SRTF     	     1	          0.06	            0.063	     0.986	    0.06	         0.062	      0
SRTF     	     2	          0.06	            0.065	      1.99	   0.122	         0.136	      0
SRTF     	     3	          0.06	            0.067	     2.977	   0.179	         0.199	      0
SRTF     	     4	          0.06	             0.07	      4.04	   0.244	         0.287	      0
SRTF     	     5	          0.06	            0.072	     4.979	   0.299	         0.357	      0
SRTF     	     6	          0.06	            0.075	     6.062	   0.363	         0.442	      0
SRTF     	     7	          0.06	            0.078	     7.042	   0.421	         0.549	      0
SRTF     	     8	          0.06	            0.084	     8.022	   0.479	         0.675	      0
SRTF     	     9	          0.06	             0.09	     8.991	   0.544	         0.807	      0
SRTF     	    10	          0.06	            0.096	    10.084	   0.604	         0.971	      0
SRTF     	    11	          0.06	            0.103	    10.928	   0.662	         1.103	      0
SRTF     	    12	          0.06	            0.108	    11.811	    0.69	         1.272	      0
SRTF     	    13	          0.06	            0.133	    12.967	   0.784	         1.722	      0
SRTF     	    14	          0.06	            0.192	    13.961	   0.855	         2.696	      0
SRTF     	    15	          0.06	            0.208	    14.724	   0.895	         3.041	      0
SRTF     	    16	          0.06	            0.283	    15.758	   0.946	          4.45	      0
SRTF     	    17	          0.06	            0.991	    17.063	   0.995	        37.219	      0
SRTF     	    18	          0.06	            1.013	    17.542	   0.998	        88.369	      0
SRTF     	    19	          0.06	             1.92	     18.41	   0.999	       159.899	      0
SRTF     	    20	          0.06	             1.15	    19.135	   0.999	       225.749	      0
SRTF     	    21	          0.06	            0.991	    20.036	     1.0	       278.751	      0
SRTF     	    22	          0.06	            0.865	    20.652	     1.0	       373.351	      0
SRTF     	    23	          0.06	            0.765	    21.525	   0.999	       444.488	      0
SRTF     	    24	          0.06	            0.794	    21.974	     1.0	       504.385	      0
SRTF     	    25	          0.06	            0.702	    22.616	     1.0	       542.446	      0
SRTF     	    26	          0.06	            0.797	     23.25	     1.0	       615.697	      0
SRTF     	    27	          0.06	            0.964	    23.693	     1.0	        705.92	      0
SRTF     	    28	          0.06	            0.701	    24.143	     1.0	       822.613	      0
SRTF     	    29	          0.06	            0.526	    24.635	     1.0	       882.545	      0
SRTF     	    30	          0.06	            0.969	    25.321	     1.0	       962.259	      0
---------	------	--------------	-----------------	----------	--------	--------------	-------
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum
---------	------	--------------	-----------------	----------	--------	--------------	-------
HRRN     	     1	          0.06	            0.064	     0.997	    0.06	         0.064	      0
HRRN     	     2	          0.06	             0.07	     1.977	   0.122	         0.132	      0
HRRN     	     3	          0.06	            0.073	     2.992	   0.182	         0.213	      0
HRRN     	     4	          0.06	            0.077	     4.059	   0.242	         0.308	      0
HRRN     	     5	          0.06	            0.081	     4.999	   0.297	         0.411	      0
HRRN     	     6	          0.06	            0.088	     5.971	   0.354	         0.523	      0
HRRN     	     7	          0.06	            0.096	     7.104	   0.424	         0.682	      0
HRRN     	     8	          0.06	            0.105	     8.055	   0.479	         0.862	      0
HRRN     	     9	          0.06	            0.112	     9.041	   0.543	         0.986	      0
HRRN     	    10	          0.06	            0.126	     9.966	   0.595	         1.246	      0
HRRN     	    11	          0.06	            0.147	     10.99	   0.674	         1.602	      0
HRRN     	    12	          0.06	            0.173	    12.027	    0.73	         2.106	      0
HRRN     	    13	          0.06	            0.193	    13.021	    0.78	         2.495	      0
HRRN     	    14	          0.06	            0.273	     14.45	   0.866	         3.905	      0
HRRN     	    15	          0.06	            0.395	    15.036	   0.908	         5.946	      0
HRRN     	    16	          0.06	            0.569	    15.715	    0.96	         8.821	      0
HRRN     	    17	          0.06	            7.742	     16.99	   0.999	       135.038	      0
HRRN     	    18	          0.06	           13.469	    17.377	     1.0	       254.935	      0
