---------	------	--------------	-----------------	----------	--------	--------------	-------
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum
---------	------	--------------	-----------------	----------	--------	--------------	-------
FCFS     	     1	          0.06	            0.065	       1.0	   0.062	         0.062	      0
FCFS     	     2	          0.06	            0.068	     1.981	   0.119	         0.141	      0
FCFS     	     3	          0.06	            0.073	     2.964	   0.177	         0.214	      0
FCFS     	     4	          0.06	            0.077	      4.08	   0.243	         0.313	      0
FCFS     	     5	          0.06	            0.085	     5.059	   0.304	         0.413	      0
FCFS     	     6	          0.06	            0.091	     5.961	    0.35	         0.538	      0
FCFS     	     7	          0.06	            0.101	     6.974	   0.417	         0.701	      0
FCFS     	     8	          0.06	            0.118	     8.013	   0.489	         0.944	      0
FCFS     	     9	          0.06	            0.129	     9.028	    0.54	         1.165	      0
FCFS     	    10	          0.06	            0.145	     9.833	   0.586	          1.45	      0
FCFS     	    11	          0.06	             0.17	    10.825	   0.648	         1.851	      0
FCFS     	    12	          0.06	            0.232	     12.04	   0.727	         2.815	      0
FCFS     	    13	          0.06	            0.297	    13.102	   0.784	         3.985	      0
FCFS     	    14	          0.06	            0.352	    13.936	   0.835	         5.006	      0
FCFS     	    15	          0.06	            0.538	    15.157	     0.9	          8.22	      0
FCFS     	    16	          0.06	            1.461	    16.055	   0.965	        23.603	      0
FCFS     	    17	          0.06	            2.469	    16.695	    0.99	        41.116	      0
FCFS     	    18	          0.06	           24.771	    16.603	   0.999	       440.874	      0
FCFS     	    19	          0.06	           45.459	    16.355	   0.999	       871.411	      0
FCFS     	    20	          0.06	           58.818	    16.518	   0.999	      1184.386	      0
FCFS     	    21	          0.06	           57.784	    16.989	     1.0	      1214.838	      0
FCFS     	    22	          0.06	           75.458	    16.597	     1.0	      1670.567	      0
FCFS     	    23	          0.06	           88.592	    16.415	     1.0	      2039.421	      0
FCFS     	    24	          0.06	           95.201	    16.599	     1.0	      2281.043	      0
FCFS     	    25	          0.06	           97.224	    16.628	     1.0	      2397.682	      0
FCFS     	    26	          0.06	          107.498	    16.773	     1.0	      2791.375	      0
FCFS     	    27	          0.06	          111.338	    16.621	     1.0	      2963.466	      0
FCFS     	    28	          0.06	          121.822	     16.68	     1.0	      3451.139	      0
FCFS     	    29	          0.06	          125.745	     16.58	     1.0	      3684.113	      0
FCFS     	    30	          0.06	          134.352	    16.558	     1.0	      4050.884	      0
---------	------	--------------	-----------------	----------	--------	--------------	-------
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum
---------	------	--------------	-----------------	----------	--------	--------------	-------
SRTF     	     1	          0.06	            0.061	     0.982	   0.058	         0.063	      0
SRTF     	     2	          0.06	            0.064	     2.009	    0.12	         0.133	      0
