---------	------	--------------	-----------------	----------	--------	--------------	-------
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum
---------	------	--------------	-----------------	----------	--------	--------------	-------
FCFS     	     1	          0.06	            0.063	     1.011	    0.06	         0.063	      0
FCFS     	     2	          0.06	            0.068	     2.002	   0.119	         0.137	      0
FCFS     	     3	          0.06	            0.071	     2.976	   0.174	         0.217	      0
FCFS     	     4	          0.06	            0.079	     3.986	    0.24	         0.315	      0
FCFS     	     5	          0.06	            0.088	     5.087	   0.307	         0.453	      0
FCFS     	     6	          0.06	            0.093	     5.964	   0.355	         0.552	      0
FCFS     	     7	          0.06	            0.097	     6.975	   0.412	         0.659	      0
FCFS     	     8	          0.06	            0.117	     8.045	   0.481	         0.945	      0
FCFS     	     9	          0.06	             0.13	     9.016	   0.547	         1.135	      0
FCFS     	    10	          0.06	            0.155	    10.145	    0.61	         1.579	      0
FCFS     	    11	          0.06	            0.176	    10.997	    0.66	         1.908	      0
FCFS     	    12	          0.06	            0.209	    11.875	   0.718	         2.451	      0
FCFS     	    13	          0.06	            0.273	    13.075	   0.787	         3.554	      0
FCFS     	    14	          0.06	            0.389	    14.015	    0.84	         5.491	      0
FCFS     	    15	          0.06	            0.572	    14.938	   0.899	         8.513	      0
FCFS     	    16	          0.06	            1.547	    15.961	   0.972	        24.639	      0
FCFS     	    17	          0.06	            8.373	    16.732	   0.996	       143.194	      0
FCFS     	    18	          0.06	           23.319	    16.758	   0.999	       424.456	      0
FCFS     	    19	          0.06	           35.966	    16.699	     1.0	       683.629	      0
FCFS     	    20	          0.06	           51.072	    16.785	     1.0	      1026.185	      0
FCFS     	    21	          0.06	           60.761	    17.019	     1.0	      1300.747	      0
FCFS     	    22	          0.06	           72.673	    16.695	     1.0	      1610.257	      0
FCFS     	    23	          0.06	           80.804	     16.77	     1.0	      1837.466	      0
FCFS     	    24	          0.06	           91.038	     16.75	     1.0	       2179.25	      0
FCFS     	    25	          0.06	           94.471	    16.618	     1.0	      2319.432	      0
FCFS     	    26	          0.06	          103.758	    16.763	     1.0	      2708.618	      0
FCFS     	    27	          0.06	          123.862	    16.362	     1.0	      3357.177	      0
FCFS     	    28	          0.06	          122.579	    16.601	     1.0	      3483.771	      0
FCFS     	    29	          0.06	          128.473	     16.68	     1.0	      3697.451	      0
FCFS     	    30	          0.06	          129.033	    16.978	     1.0	       3864.22	      0
---------	------	--------------	-----------------	----------	--------	--------------	-------
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum
---------	------	--------------	-----------------	----------	--------	--------------	-------
SRTF     	     1	          0.06	            0.061	      0.98	   0.058	         0.055	      0
SRTF     	     2	          0.06	            0.065	     2.026	   0.122	         0.134	      0
SRTF     	     3	          0.06	            0.067	     2.997	    0.18	         0.201	      0
SRTF     	     4	          0.06	            0.069	      4.03	   0.239	         0.283	      0
SRTF     	     5	          0.06	            0.073	     5.016	   0.304	          0.37	      0
SRTF     	     6	          0.06	            0.076	     6.022	   0.361	         0.455	      0
SRTF     	     7	          0.06	            0.081	     6.935	   0.423	         0.556	      0
SRTF     	     8	          0.06	            0.084	     7.941	   0.478	         0.664	      0
SRTF     	     9	          0.06	            0.091	     9.149	   0.552	         0.835	      0
SRTF     	    10	          0.06	            0.089	    10.038	   0.587	         0.882	      0
SRTF     	    11	          0.06	            0.112	    11.227	   0.684	         1.272	      0
SRTF     	    12	          0.06	            0.124	    12.051	   0.729	         1.508	      0
SRTF     	    13	          0.06	            0.125	    12.974	   0.761	         1.622	      0
SRTF     	    14	          0.06	            0.153	    14.013	    0.84	         2.129	      0
SRTF     	    15	          0.06	            0.194	    14.925	   0.893	         2.907	      0
SRTF     	    16	          0.06	            0.638	    15.945	   0.961	        10.261	      0
SRTF     	    17	          0.06	            1.188	    16.949	   0.994	        34.341	      0
SRTF     	    18	          0.06	            0.689	    17.554	   0.997	        77.133	      0
SRTF     	    19	          0.06	            0.685	    18.518	   0.999	       140.661	      0
SRTF     	    20	          0.06	            1.749	    19.212	     1.0	       254.921	      0
SRTF     	    21	          0.06	            1.508	    19.737	     1.0	         285.1	      0
SRTF     	    22	          0.06	            0.736	    20.652	     1.0	        311.06	      0
SRTF     	    23	          0.06	            1.361	    21.308	     1.0	       432.906	      0
